iter	Logloss
0	0.659192776
1	0.6281149738
2	0.5993036751
3	0.5728606355
4	0.5484184304
5	0.5258880368
6	0.5055262372
7	0.4867544879
8	0.4692389151
9	0.4533341623
10	0.4385462984
11	0.424923204
12	0.4126198424
13	0.4013345807
14	0.3905112233
15	0.3809504616
16	0.3722373952
17	0.3639201221
18	0.3566071244
19	0.3492143391
20	0.3425143508
21	0.3364997138
22	0.3309467443
23	0.3257556125
24	0.3208432072
25	0.3162354882
26	0.3120224181
27	0.3081850904
28	0.3044752614
29	0.3010924054
30	0.2979575175
31	0.2949903166
32	0.292159784
33	0.2896554446
34	0.287235555
35	0.2850257522
36	0.2829697154
37	0.2811143318
38	0.2792801617
39	0.277507661
40	0.2759224038
41	0.2744231523
42	0.2729359218
43	0.271682489
44	0.270506889
45	0.269353237
46	0.2683243106
47	0.26724861
48	0.2661867483
49	0.2651392785
50	0.264290484
51	0.2635221695
52	0.2627409861
53	0.2619674602
54	0.2612821111
55	0.2605903043
56	0.2599993024
57	0.2594485075
58	0.2588326666
59	0.2582911656
60	0.2578189158
61	0.2573465278
62	0.2568590147
63	0.2564592434
64	0.2560630049
65	0.2557195399
66	0.2553024166
67	0.2548834449
68	0.2545408792
69	0.2542350739
70	0.2538641255
71	0.2536222212
72	0.2532932485
73	0.2529998418
74	0.2527436423
75	0.2525065082
76	0.2522504154
77	0.2520551715
78	0.251845831
79	0.251614915
80	0.2514225428
81	0.2512259886
82	0.2510605012
83	0.2508360912
84	0.2506558662
85	0.2504857084
86	0.2503188198
87	0.2501402153
88	0.2499588634
89	0.2497997901
90	0.2496323199
91	0.2495136908
92	0.2493579342
93	0.2492380909
94	0.2491080074
95	0.2489748975
96	0.248850695
97	0.2487068285
98	0.2485765862
99	0.2484778967
100	0.2483619689
101	0.2482627864
102	0.2481443837
103	0.2480260813
104	0.2479166618
105	0.2478152065
106	0.2477071943
107	0.2476359017
108	0.2475600326
109	0.247479631
110	0.2474073779
111	0.247342566
112	0.2472628684
113	0.2471742751
114	0.247075475
115	0.2470108045
116	0.2469253415
117	0.2468399218
118	0.2467637563
119	0.2466894406
120	0.2466014276
121	0.2465373166
122	0.2464592583
123	0.2463667116
124	0.2462890892
125	0.2462244916
126	0.2461736106
127	0.2461077903
128	0.2460263032
129	0.2459603052
130	0.2459030769
131	0.245841623
132	0.2457605846
133	0.2457136476
134	0.2456376594
135	0.2455896172
136	0.2455416109
137	0.2454847844
138	0.2454200342
139	0.24536071
140	0.2453119542
141	0.2452329374
142	0.245168119
143	0.245087142
144	0.2450259336
145	0.2449560382
146	0.2449009886
147	0.2448500437
148	0.2447838252
149	0.2447453033
150	0.2446881222
151	0.2446517304
152	0.244594787
153	0.2445345195
154	0.2444902847
155	0.2444445662
156	0.2443909865
157	0.2443493517
158	0.2442958054
159	0.244245676
160	0.2441953416
161	0.2441514423
162	0.2441094504
163	0.2440733224
164	0.2440190642
165	0.2439763368
166	0.2439444388
167	0.2439105395
168	0.2438726877
169	0.2438203923
170	0.243786517
171	0.2437549763
172	0.2437112709
173	0.243657192
174	0.2436204913
175	0.2435851008
176	0.2435453838
177	0.2435011831
178	0.2434699517
179	0.2434276399
180	0.2433741826
181	0.2433376571
182	0.2432894723
183	0.2432551706
184	0.2432262129
185	0.2431709759
186	0.2431208754
187	0.243073648
188	0.2430450018
189	0.2429981682
190	0.2429634608
191	0.2429121591
192	0.2428632994
193	0.2428095088
194	0.2427618665
195	0.2427288435
196	0.2426992696
197	0.2426601479
198	0.2426233058
199	0.2425963493
200	0.2425617286
201	0.242535117
202	0.2425061523
203	0.2424593631
204	0.2424239646
205	0.2423796052
206	0.2423445747
207	0.2423038242
208	0.2422787573
209	0.2422498723
210	0.2422211196
211	0.2421812122
212	0.2421545357
213	0.2421275725
214	0.2420831403
215	0.2420461682
216	0.2420237492
217	0.2419914865
218	0.241957604
219	0.2419361613
220	0.2419068591
221	0.241862064
222	0.2418147716
223	0.2417812301
224	0.2417367971
225	0.2416941589
226	0.2416665755
227	0.2416321046
228	0.241613511
229	0.2415804444
230	0.2415557399
231	0.2415205184
232	0.2414965855
233	0.2414454714
234	0.2414149675
235	0.2413822828
236	0.241349009
237	0.2413268465
238	0.2413002759
239	0.2412631107
240	0.2412458286
241	0.2412010182
242	0.2411767623
243	0.2411403948
244	0.2411001679
245	0.241073597
246	0.2410408366
247	0.2410214636
248	0.2409956617
249	0.2409813379
250	0.2409553076
251	0.2409316017
252	0.24090761
253	0.2408765191
254	0.2408559252
255	0.2408192655
256	0.2407881088
257	0.2407678214
258	0.240745942
259	0.240724493
260	0.2406891083
261	0.2406638029
262	0.2406471848
263	0.2406275829
264	0.2406068379
265	0.2405829752
266	0.2405584992
267	0.240536233
268	0.240518703
269	0.240500989
270	0.2404790623
271	0.2404481604
272	0.2404253508
273	0.240408601
274	0.2403777728
275	0.2403597027
276	0.2403462426
277	0.2402994571
278	0.2402691671
279	0.2402503588
280	0.2402358502
281	0.2402127904
282	0.2401891315
283	0.2401732562
284	0.2401511671
285	0.2401287543
286	0.2401073044
287	0.2400853414
288	0.2400701474
289	0.2400552986
290	0.2400361709
291	0.2400176525
292	0.2399947685
293	0.2399775284
294	0.2399528269
295	0.2399303957
296	0.2399114836
297	0.2398990167
298	0.2398601783
299	0.239839558
