iter	Logloss
0	0.6594093464
1	0.6280991603
2	0.5995421857
3	0.5732909318
4	0.5487450843
5	0.5262688685
6	0.505549749
7	0.4867802748
8	0.4693866679
9	0.4534904433
10	0.438716666
11	0.4252628553
12	0.4129650012
13	0.4014553012
14	0.3913719397
15	0.3815889939
16	0.3723763235
17	0.3640836652
18	0.3567203974
19	0.3495310527
20	0.3428570006
21	0.336640702
22	0.3307990294
23	0.3257316619
24	0.3210347504
25	0.3164352002
26	0.3122095905
27	0.3082483312
28	0.3047074645
29	0.3015174361
30	0.2983652167
31	0.2954404858
32	0.2926571224
33	0.2901005133
34	0.2878033404
35	0.2856748082
36	0.2835301198
37	0.2815659879
38	0.2796719992
39	0.278071237
40	0.2765797197
41	0.2752061584
42	0.2737771142
43	0.2724774763
44	0.2712429782
45	0.2701661269
46	0.2690781023
47	0.2681169195
48	0.2670890825
49	0.266220398
50	0.2653569764
51	0.2645757991
52	0.2637663363
53	0.2629960078
54	0.2623301384
55	0.261689943
56	0.2610980522
57	0.2605815347
58	0.2600689989
59	0.2596225675
60	0.2591510523
61	0.2586789544
62	0.2582949098
63	0.2579356961
64	0.2575327401
65	0.257143084
66	0.2567926456
67	0.2564624393
68	0.256167892
69	0.2558553005
70	0.2555769899
71	0.255320997
72	0.2550594912
73	0.254794697
74	0.2545326776
75	0.2542948951
76	0.2541167607
77	0.2539130241
78	0.2537523013
79	0.2535606944
80	0.253395145
81	0.2532214683
82	0.2530916454
83	0.2529346907
84	0.252790263
85	0.2526331293
86	0.2525119894
87	0.2523639822
88	0.2522327762
89	0.2520962593
90	0.2519681673
91	0.2518860045
92	0.2517914461
93	0.2516667864
94	0.251589251
95	0.2514895586
96	0.2513832337
97	0.2512653835
98	0.2511855217
99	0.2510945308
100	0.2510026344
101	0.2509152126
102	0.2508087599
103	0.2507230604
104	0.2506423632
105	0.2505726524
106	0.2504950891
107	0.2504332845
108	0.2503673081
109	0.2503020041
110	0.2502393826
111	0.2501836143
112	0.2501183088
113	0.2500644139
114	0.250007462
115	0.2499420771
116	0.2498830702
117	0.2498285944
118	0.2497778025
119	0.2497126063
120	0.2496826829
121	0.2496354419
122	0.2495680378
123	0.2495054508
124	0.2494545929
125	0.2493988245
126	0.2493581209
127	0.2493193241
128	0.249283686
129	0.2492313213
130	0.2491804796
131	0.2491250683
132	0.2490965462
133	0.2490613343
134	0.2490354555
135	0.2489929843
136	0.2489436566
137	0.2488933731
138	0.2488484169
139	0.2488056434
140	0.248775409
141	0.2487276691
142	0.2486828593
143	0.2486522239
144	0.2486237419
145	0.2485805787
146	0.2485521091
147	0.2485179047
148	0.2484927892
149	0.2484590207
150	0.2484218293
151	0.2483908891
152	0.2483603691
153	0.2483269878
154	0.2483054189
155	0.2482685831
156	0.2482428965
157	0.2481995266
158	0.2481655918
159	0.2481405812
160	0.2480933893
161	0.2480579496
162	0.2480336497
163	0.248005572
164	0.2479773541
165	0.2479365584
166	0.247908994
167	0.2478672114
168	0.2478305779
169	0.247797865
170	0.2477749537
171	0.2477473762
172	0.247722301
173	0.2476885134
174	0.2476716449
175	0.2476450962
176	0.247616562
177	0.2475933626
178	0.2475585029
179	0.2475329876
180	0.2475109857
181	0.2474917701
182	0.2474648963
183	0.2474501234
184	0.2474251557
185	0.2474060934
186	0.2473835424
187	0.2473715132
188	0.2473512313
189	0.2473254537
190	0.2472996748
191	0.2472811963
192	0.2472686945
193	0.2472491935
194	0.2472341287
195	0.2472033461
196	0.247172468
197	0.2471479221
198	0.2471356989
199	0.2471131231
200	0.2470907054
201	0.247072436
202	0.2470525462
203	0.2470429667
204	0.2470280124
205	0.2470050035
206	0.2469896059
207	0.2469715131
208	0.2469544086
209	0.2469258826
210	0.246912541
211	0.2468943841
212	0.2468718804
213	0.246851946
214	0.2468367111
215	0.2468200877
216	0.2468040468
217	0.2467871039
218	0.2467679912
219	0.2467400228
220	0.2467161678
221	0.246701418
222	0.2466886717
223	0.2466731847
224	0.2466627184
225	0.2466506969
226	0.2466296071
227	0.2466067167
228	0.2465952664
229	0.2465784887
230	0.2465668991
231	0.2465548582
232	0.2465354337
233	0.2465163842
234	0.2465051897
235	0.2464893407
236	0.2464766766
237	0.246458247
238	0.2464401127
239	0.2464269761
240	0.2464078353
241	0.2463906095
242	0.2463759524
243	0.2463643436
244	0.2463498225
245	0.2463342595
246	0.2463109148
247	0.2463035042
248	0.2462911471
249	0.2462761552
250	0.2462637019
251	0.2462496882
252	0.2462244209
253	0.2462146653
254	0.2462016065
255	0.2461920858
256	0.2461776123
257	0.2461678402
258	0.2461568524
259	0.2461356068
260	0.2461251797
261	0.2461170553
262	0.2461058387
263	0.2460945982
264	0.246085197
265	0.246077397
266	0.2460613912
267	0.2460399578
268	0.2460340818
269	0.2460269639
270	0.2460184876
271	0.2459955905
272	0.2459811688
273	0.2459732573
274	0.2459570243
275	0.2459453078
276	0.2459358047
277	0.2459249874
278	0.2459156765
279	0.2459059154
280	0.2458959442
281	0.2458807905
282	0.2458702098
283	0.2458507966
284	0.2458394632
285	0.2458268267
286	0.2458197507
287	0.2457989646
288	0.2457922767
289	0.2457736549
290	0.2457633898
291	0.2457530825
292	0.2457378492
293	0.2457201066
294	0.2456966608
295	0.2456835591
296	0.2456747943
297	0.2456651837
298	0.2456578787
299	0.2456363378
