feature,importance,fold
STD(previous_application.NAME_SELLER_INDUSTRY_Auto technology),1,2
STD(previous_application.NAME_SELLER_INDUSTRY_Clothing),0,2
STD(previous_application.NAME_SELLER_INDUSTRY_Connectivity),19,2
STD(previous_application.NAME_SELLER_INDUSTRY_Construction),4,2
STD(previous_application.NAME_SELLER_INDUSTRY_Consumer electronics),35,2
STD(previous_application.NAME_SELLER_INDUSTRY_Furniture),6,2
STD(previous_application.NAME_SELLER_INDUSTRY_Industry),2,2
STD(previous_application.NAME_SELLER_INDUSTRY_Jewelry),0,2
STD(previous_application.NAME_SELLER_INDUSTRY_MLM partners),0,2
STD(previous_application.NAME_SELLER_INDUSTRY_Tourism),0,2
STD(previous_application.NAME_SELLER_INDUSTRY_nan),27,2
STD(previous_application.NAME_YIELD_GROUP_high),60,2
STD(previous_application.NAME_YIELD_GROUP_low_action),23,2
STD(previous_application.NAME_YIELD_GROUP_low_normal),36,2
STD(previous_application.NAME_YIELD_GROUP_middle),46,2
STD(previous_application.NAME_YIELD_GROUP_nan),33,2
STD(previous_application.PRODUCT_COMBINATION_Card Street),18,2
STD(previous_application.PRODUCT_COMBINATION_Card X-Sell),16,2
STD(previous_application.PRODUCT_COMBINATION_Cash),28,2
STD(previous_application.PRODUCT_COMBINATION_Cash Street: high),26,2
STD(previous_application.PRODUCT_COMBINATION_Cash Street: low),68,2
STD(previous_application.PRODUCT_COMBINATION_Cash Street: middle),27,2
STD(previous_application.PRODUCT_COMBINATION_Cash X-Sell: high),44,2
STD(previous_application.PRODUCT_COMBINATION_Cash X-Sell: low),71,2
STD(previous_application.PRODUCT_COMBINATION_Cash X-Sell: middle),32,2
STD(previous_application.PRODUCT_COMBINATION_POS household with interest),31,2
STD(previous_application.PRODUCT_COMBINATION_POS household without interest),11,2
STD(previous_application.PRODUCT_COMBINATION_POS industry with interest),7,2
STD(previous_application.PRODUCT_COMBINATION_POS industry without interest),1,2
STD(previous_application.PRODUCT_COMBINATION_POS mobile with interest),24,2
STD(previous_application.PRODUCT_COMBINATION_POS mobile without interest),15,2
STD(previous_application.PRODUCT_COMBINATION_POS other with interest),5,2
STD(previous_application.PRODUCT_COMBINATION_POS others without interest),0,2
STD(previous_application.PRODUCT_COMBINATION_nan),0,2
MAX(previous_application.AMT_ANNUITY),62,2
MAX(previous_application.AMT_APPLICATION),29,2
MAX(previous_application.AMT_CREDIT),47,2
MAX(previous_application.AMT_DOWN_PAYMENT),104,2
MAX(previous_application.AMT_GOODS_PRICE),15,2
MAX(previous_application.HOUR_APPR_PROCESS_START),73,2
MAX(previous_application.NFLAG_LAST_APPL_IN_DAY),0,2
MAX(previous_application.RATE_DOWN_PAYMENT),50,2
MAX(previous_application.RATE_INTEREST_PRIMARY),0,2
MAX(previous_application.RATE_INTEREST_PRIVILEGED),0,2
MAX(previous_application.DAYS_DECISION),99,2
MAX(previous_application.SELLERPLACE_AREA),85,2
MAX(previous_application.CNT_PAYMENT),42,2
MAX(previous_application.DAYS_FIRST_DRAWING),82,2
MAX(previous_application.DAYS_FIRST_DUE),121,2
MAX(previous_application.DAYS_LAST_DUE_1ST_VERSION),305,2
MAX(previous_application.DAYS_LAST_DUE),199,2
MAX(previous_application.DAYS_TERMINATION),123,2
MAX(previous_application.NFLAG_INSURED_ON_APPROVAL),4,2
MAX(previous_application.NEW_AMT_APPLICATION_DIVIDE_AMT_CREDIT),87,2
MAX(previous_application.NEW_AMT_DOWN_PAYMENT_DIVIDE_AMT_CREDIT),36,2
MAX(previous_application.POS_MONTHS_BALANCE_SIZE),23,2
MAX(previous_application.CREDIT_MONTHS_BALANCE_SIZE),3,2
MAX(previous_application.NAME_CONTRACT_TYPE_Cash loans),0,2
MAX(previous_application.NAME_CONTRACT_TYPE_Consumer loans),0,2
MAX(previous_application.NAME_CONTRACT_TYPE_Revolving loans),0,2
MAX(previous_application.NAME_CONTRACT_TYPE_nan),0,2
MAX(previous_application.WEEKDAY_APPR_PROCESS_START_FRIDAY),0,2
MAX(previous_application.WEEKDAY_APPR_PROCESS_START_MONDAY),0,2
MAX(previous_application.WEEKDAY_APPR_PROCESS_START_SATURDAY),0,2
MAX(previous_application.WEEKDAY_APPR_PROCESS_START_SUNDAY),0,2
MAX(previous_application.WEEKDAY_APPR_PROCESS_START_THURSDAY),0,2
MAX(previous_application.WEEKDAY_APPR_PROCESS_START_TUESDAY),0,2
MAX(previous_application.WEEKDAY_APPR_PROCESS_START_WEDNESDAY),0,2
MAX(previous_application.FLAG_LAST_APPL_PER_CONTRACT_N),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Building a house or an annex),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Business development),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Buying a garage),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Buying a holiday home / land),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Buying a home),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Buying a new car),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Buying a used car),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Car repairs),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Education),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Everyday expenses),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Furniture),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Gasification / water supply),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Hobby),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Journey),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Medicine),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Money for a third person),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Other),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Payments on other loans),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Purchase of electronic equipment),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Refusal to name the goal),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Repairs),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Urgent needs),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_Wedding / gift / holiday),0,2
MAX(previous_application.NAME_CASH_LOAN_PURPOSE_nan),0,2
MAX(previous_application.NAME_CONTRACT_STATUS_Approved),0,2
MAX(previous_application.NAME_CONTRACT_STATUS_Canceled),0,2
MAX(previous_application.NAME_CONTRACT_STATUS_Refused),0,2
MAX(previous_application.NAME_CONTRACT_STATUS_Unused offer),0,2
MAX(previous_application.NAME_PAYMENT_TYPE_Cash through the bank),0,2
MAX(previous_application.NAME_PAYMENT_TYPE_Cashless from the account of the employer),0,2
MAX(previous_application.NAME_PAYMENT_TYPE_Non-cash from your account),0,2
MAX(previous_application.NAME_PAYMENT_TYPE_nan),0,2
MAX(previous_application.CODE_REJECT_REASON_CLIENT),0,2
MAX(previous_application.CODE_REJECT_REASON_HC),0,2
MAX(previous_application.CODE_REJECT_REASON_LIMIT),1,2
MAX(previous_application.CODE_REJECT_REASON_SCO),0,2
MAX(previous_application.CODE_REJECT_REASON_SCOFR),0,2
MAX(previous_application.CODE_REJECT_REASON_SYSTEM),0,2
MAX(previous_application.CODE_REJECT_REASON_VERIF),0,2
MAX(previous_application.CODE_REJECT_REASON_nan),0,2
MAX(previous_application.NAME_TYPE_SUITE_Children),0,2
MAX(previous_application.NAME_TYPE_SUITE_Family),0,2
MAX(previous_application.NAME_TYPE_SUITE_Group of people),0,2
MAX(previous_application.NAME_TYPE_SUITE_Other_A),0,2
MAX(previous_application.NAME_TYPE_SUITE_Other_B),0,2
"MAX(previous_application.NAME_TYPE_SUITE_Spouse, partner)",0,2
MAX(previous_application.NAME_TYPE_SUITE_Unaccompanied),0,2
MAX(previous_application.NAME_TYPE_SUITE_nan),0,2
MAX(previous_application.NAME_CLIENT_TYPE_New),2,2
MAX(previous_application.NAME_CLIENT_TYPE_Refreshed),0,2
MAX(previous_application.NAME_CLIENT_TYPE_Repeater),0,2
MAX(previous_application.NAME_CLIENT_TYPE_nan),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Additional Service),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Animals),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Audio/Video),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Auto Accessories),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Clothing and Accessories),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Computers),1,2
MAX(previous_application.NAME_GOODS_CATEGORY_Construction Materials),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Consumer Electronics),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Direct Sales),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Education),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Fitness),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Furniture),1,2
MAX(previous_application.NAME_GOODS_CATEGORY_Gardening),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Homewares),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Insurance),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Jewelry),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Medical Supplies),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Medicine),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Mobile),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Office Appliances),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Other),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Photo / Cinema Equipment),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Sport and Leisure),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Tourism),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Vehicles),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_Weapon),0,2
MAX(previous_application.NAME_GOODS_CATEGORY_nan),0,2
MAX(previous_application.NAME_PORTFOLIO_Cards),0,2
MAX(previous_application.NAME_PORTFOLIO_Cars),0,2
MAX(previous_application.NAME_PORTFOLIO_Cash),0,2
MAX(previous_application.NAME_PORTFOLIO_POS),0,2
MAX(previous_application.NAME_PORTFOLIO_nan),0,2
MAX(previous_application.NAME_PRODUCT_TYPE_walk-in),0,2
MAX(previous_application.NAME_PRODUCT_TYPE_x-sell),0,2
MAX(previous_application.NAME_PRODUCT_TYPE_nan),0,2
MAX(previous_application.CHANNEL_TYPE_AP+ (Cash loan)),0,2
MAX(previous_application.CHANNEL_TYPE_Car dealer),0,2
MAX(previous_application.CHANNEL_TYPE_Channel of corporate sales),1,2
MAX(previous_application.CHANNEL_TYPE_Contact center),0,2
MAX(previous_application.CHANNEL_TYPE_Country-wide),0,2
MAX(previous_application.CHANNEL_TYPE_Credit and cash offices),0,2
MAX(previous_application.CHANNEL_TYPE_Regional / Local),0,2
MAX(previous_application.CHANNEL_TYPE_Stone),0,2
MAX(previous_application.NAME_SELLER_INDUSTRY_Auto technology),0,2
MAX(previous_application.NAME_SELLER_INDUSTRY_Clothing),0,2
MAX(previous_application.NAME_SELLER_INDUSTRY_Connectivity),0,2
MAX(previous_application.NAME_SELLER_INDUSTRY_Construction),0,2
MAX(previous_application.NAME_SELLER_INDUSTRY_Consumer electronics),0,2
MAX(previous_application.NAME_SELLER_INDUSTRY_Furniture),0,2
MAX(previous_application.NAME_SELLER_INDUSTRY_Industry),1,2
MAX(previous_application.NAME_SELLER_INDUSTRY_Jewelry),0,2
MAX(previous_application.NAME_SELLER_INDUSTRY_MLM partners),0,2
MAX(previous_application.NAME_SELLER_INDUSTRY_Tourism),0,2
MAX(previous_application.NAME_SELLER_INDUSTRY_nan),0,2
MAX(previous_application.NAME_YIELD_GROUP_high),1,2
MAX(previous_application.NAME_YIELD_GROUP_low_action),0,2
MAX(previous_application.NAME_YIELD_GROUP_low_normal),1,2
MAX(previous_application.NAME_YIELD_GROUP_middle),1,2
MAX(previous_application.NAME_YIELD_GROUP_nan),1,2
MAX(previous_application.PRODUCT_COMBINATION_Card Street),0,2
MAX(previous_application.PRODUCT_COMBINATION_Card X-Sell),0,2
MAX(previous_application.PRODUCT_COMBINATION_Cash),0,2
MAX(previous_application.PRODUCT_COMBINATION_Cash Street: high),0,2
MAX(previous_application.PRODUCT_COMBINATION_Cash Street: low),0,2
MAX(previous_application.PRODUCT_COMBINATION_Cash Street: middle),0,2
MAX(previous_application.PRODUCT_COMBINATION_Cash X-Sell: high),0,2
MAX(previous_application.PRODUCT_COMBINATION_Cash X-Sell: low),0,2
MAX(previous_application.PRODUCT_COMBINATION_Cash X-Sell: middle),0,2
MAX(previous_application.PRODUCT_COMBINATION_POS household with interest),0,2
MAX(previous_application.PRODUCT_COMBINATION_POS household without interest),0,2
MAX(previous_application.PRODUCT_COMBINATION_POS industry with interest),0,2
MAX(previous_application.PRODUCT_COMBINATION_POS industry without interest),0,2
MAX(previous_application.PRODUCT_COMBINATION_POS mobile with interest),1,2
MAX(previous_application.PRODUCT_COMBINATION_POS mobile without interest),0,2
MAX(previous_application.PRODUCT_COMBINATION_POS other with interest),0,2
MAX(previous_application.PRODUCT_COMBINATION_POS others without interest),0,2
MAX(previous_application.PRODUCT_COMBINATION_nan),0,2
MIN(previous_application.AMT_ANNUITY),88,2
MIN(previous_application.AMT_APPLICATION),33,2
MIN(previous_application.AMT_CREDIT),44,2
MIN(previous_application.AMT_DOWN_PAYMENT),44,2
MIN(previous_application.AMT_GOODS_PRICE),98,2
MIN(previous_application.HOUR_APPR_PROCESS_START),64,2
MIN(previous_application.NFLAG_LAST_APPL_IN_DAY),0,2
MIN(previous_application.RATE_DOWN_PAYMENT),31,2
MIN(previous_application.RATE_INTEREST_PRIMARY),0,2
MIN(previous_application.RATE_INTEREST_PRIVILEGED),0,2
MIN(previous_application.DAYS_DECISION),85,2
MIN(previous_application.SELLERPLACE_AREA),38,2
MIN(previous_application.CNT_PAYMENT),8,2
MIN(previous_application.DAYS_FIRST_DRAWING),53,2
MIN(previous_application.DAYS_FIRST_DUE),76,2
MIN(previous_application.DAYS_LAST_DUE_1ST_VERSION),51,2
MIN(previous_application.DAYS_LAST_DUE),50,2
MIN(previous_application.DAYS_TERMINATION),65,2
MIN(previous_application.NFLAG_INSURED_ON_APPROVAL),2,2
MIN(previous_application.NEW_AMT_APPLICATION_DIVIDE_AMT_CREDIT),139,2
MIN(previous_application.NEW_AMT_DOWN_PAYMENT_DIVIDE_AMT_CREDIT),17,2
MIN(previous_application.POS_MONTHS_BALANCE_SIZE),10,2
MIN(previous_application.CREDIT_MONTHS_BALANCE_SIZE),12,2
MIN(previous_application.NAME_CONTRACT_TYPE_Cash loans),0,2
MIN(previous_application.NAME_CONTRACT_TYPE_Consumer loans),0,2
MIN(previous_application.NAME_CONTRACT_TYPE_Revolving loans),0,2
MIN(previous_application.WEEKDAY_APPR_PROCESS_START_FRIDAY),15,2
MIN(previous_application.WEEKDAY_APPR_PROCESS_START_MONDAY),0,2
MIN(previous_application.WEEKDAY_APPR_PROCESS_START_SATURDAY),0,2
MIN(previous_application.WEEKDAY_APPR_PROCESS_START_SUNDAY),0,2
MIN(previous_application.WEEKDAY_APPR_PROCESS_START_THURSDAY),0,2
MIN(previous_application.WEEKDAY_APPR_PROCESS_START_TUESDAY),0,2
MIN(previous_application.WEEKDAY_APPR_PROCESS_START_WEDNESDAY),0,2
MIN(previous_application.FLAG_LAST_APPL_PER_CONTRACT_Y),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Building a house or an annex),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Business development),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Buying a garage),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Buying a holiday home / land),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Buying a home),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Buying a new car),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Buying a used car),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Car repairs),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Education),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Everyday expenses),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Furniture),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Gasification / water supply),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Journey),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Medicine),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Money for a third person),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Other),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Payments on other loans),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Purchase of electronic equipment),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Refusal to name the goal),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Repairs),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Urgent needs),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_Wedding / gift / holiday),0,2
MIN(previous_application.NAME_CASH_LOAN_PURPOSE_nan),6,2
MIN(previous_application.NAME_CONTRACT_STATUS_Approved),0,2
MIN(previous_application.NAME_CONTRACT_STATUS_Canceled),0,2
MIN(previous_application.NAME_CONTRACT_STATUS_Refused),0,2
MIN(previous_application.NAME_CONTRACT_STATUS_Unused offer),0,2
MIN(previous_application.NAME_PAYMENT_TYPE_Cash through the bank),2,2
MIN(previous_application.NAME_PAYMENT_TYPE_Cashless from the account of the employer),0,2
MIN(previous_application.NAME_PAYMENT_TYPE_Non-cash from your account),0,2
MIN(previous_application.NAME_PAYMENT_TYPE_nan),0,2
MIN(previous_application.CODE_REJECT_REASON_CLIENT),0,2
MIN(previous_application.CODE_REJECT_REASON_HC),0,2
MIN(previous_application.CODE_REJECT_REASON_LIMIT),0,2
MIN(previous_application.CODE_REJECT_REASON_SCO),0,2
MIN(previous_application.CODE_REJECT_REASON_SCOFR),0,2
MIN(previous_application.CODE_REJECT_REASON_SYSTEM),0,2
MIN(previous_application.CODE_REJECT_REASON_VERIF),0,2
MIN(previous_application.CODE_REJECT_REASON_nan),4,2
MIN(previous_application.NAME_TYPE_SUITE_Children),0,2
MIN(previous_application.NAME_TYPE_SUITE_Family),0,2
MIN(previous_application.NAME_TYPE_SUITE_Group of people),0,2
MIN(previous_application.NAME_TYPE_SUITE_Other_A),0,2
MIN(previous_application.NAME_TYPE_SUITE_Other_B),0,2
"MIN(previous_application.NAME_TYPE_SUITE_Spouse, partner)",0,2
MIN(previous_application.NAME_TYPE_SUITE_Unaccompanied),6,2
MIN(previous_application.NAME_TYPE_SUITE_nan),5,2
MIN(previous_application.NAME_CLIENT_TYPE_New),0,2
MIN(previous_application.NAME_CLIENT_TYPE_Refreshed),11,2
MIN(previous_application.NAME_CLIENT_TYPE_Repeater),2,2
MIN(previous_application.NAME_CLIENT_TYPE_nan),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Additional Service),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Audio/Video),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Auto Accessories),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Clothing and Accessories),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Computers),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Construction Materials),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Consumer Electronics),2,2
MIN(previous_application.NAME_GOODS_CATEGORY_Direct Sales),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Education),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Fitness),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Furniture),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Gardening),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Homewares),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Insurance),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Jewelry),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Medical Supplies),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Medicine),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Mobile),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Office Appliances),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Other),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Photo / Cinema Equipment),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Sport and Leisure),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Tourism),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Vehicles),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_Weapon),0,2
MIN(previous_application.NAME_GOODS_CATEGORY_nan),0,2
MIN(previous_application.NAME_PORTFOLIO_Cards),0,2
MIN(previous_application.NAME_PORTFOLIO_Cars),0,2
MIN(previous_application.NAME_PORTFOLIO_Cash),1,2
MIN(previous_application.NAME_PORTFOLIO_POS),1,2
MIN(previous_application.NAME_PORTFOLIO_nan),0,2
MIN(previous_application.NAME_PRODUCT_TYPE_walk-in),2,2
MIN(previous_application.NAME_PRODUCT_TYPE_x-sell),0,2
MIN(previous_application.NAME_PRODUCT_TYPE_nan),0,2
MIN(previous_application.CHANNEL_TYPE_AP+ (Cash loan)),0,2
MIN(previous_application.CHANNEL_TYPE_Car dealer),0,2
MIN(previous_application.CHANNEL_TYPE_Channel of corporate sales),0,2
MIN(previous_application.CHANNEL_TYPE_Contact center),0,2
MIN(previous_application.CHANNEL_TYPE_Country-wide),1,2
MIN(previous_application.CHANNEL_TYPE_Credit and cash offices),17,2
MIN(previous_application.CHANNEL_TYPE_Regional / Local),0,2
MIN(previous_application.CHANNEL_TYPE_Stone),2,2
MIN(previous_application.NAME_SELLER_INDUSTRY_Auto technology),0,2
MIN(previous_application.NAME_SELLER_INDUSTRY_Clothing),1,2
MIN(previous_application.NAME_SELLER_INDUSTRY_Connectivity),23,2
MIN(previous_application.NAME_SELLER_INDUSTRY_Construction),11,2
MIN(previous_application.NAME_SELLER_INDUSTRY_Consumer electronics),1,2
MIN(previous_application.NAME_SELLER_INDUSTRY_Furniture),0,2
MIN(previous_application.NAME_SELLER_INDUSTRY_Industry),0,2
MIN(previous_application.NAME_SELLER_INDUSTRY_Jewelry),0,2
MIN(previous_application.NAME_SELLER_INDUSTRY_MLM partners),0,2
MIN(previous_application.NAME_SELLER_INDUSTRY_Tourism),0,2
MIN(previous_application.NAME_SELLER_INDUSTRY_nan),0,2
MIN(previous_application.NAME_YIELD_GROUP_high),3,2
MIN(previous_application.NAME_YIELD_GROUP_low_action),0,2
MIN(previous_application.NAME_YIELD_GROUP_low_normal),1,2
MIN(previous_application.NAME_YIELD_GROUP_middle),0,2
MIN(previous_application.NAME_YIELD_GROUP_nan),0,2
MIN(previous_application.PRODUCT_COMBINATION_Card Street),0,2
MIN(previous_application.PRODUCT_COMBINATION_Card X-Sell),0,2
MIN(previous_application.PRODUCT_COMBINATION_Cash),0,2
MIN(previous_application.PRODUCT_COMBINATION_Cash Street: high),0,2
MIN(previous_application.PRODUCT_COMBINATION_Cash Street: low),0,2
MIN(previous_application.PRODUCT_COMBINATION_Cash Street: middle),0,2
MIN(previous_application.PRODUCT_COMBINATION_Cash X-Sell: high),0,2
MIN(previous_application.PRODUCT_COMBINATION_Cash X-Sell: low),0,2
MIN(previous_application.PRODUCT_COMBINATION_Cash X-Sell: middle),0,2
MIN(previous_application.PRODUCT_COMBINATION_POS household with interest),0,2
MIN(previous_application.PRODUCT_COMBINATION_POS household without interest),0,2
MIN(previous_application.PRODUCT_COMBINATION_POS industry with interest),11,2
MIN(previous_application.PRODUCT_COMBINATION_POS industry without interest),0,2
MIN(previous_application.PRODUCT_COMBINATION_POS mobile with interest),1,2
MIN(previous_application.PRODUCT_COMBINATION_POS mobile without interest),0,2
MIN(previous_application.PRODUCT_COMBINATION_POS other with interest),0,2
MIN(previous_application.PRODUCT_COMBINATION_POS others without interest),0,2
MEDIAN(previous_application.AMT_ANNUITY),105,2
MEDIAN(previous_application.AMT_APPLICATION),81,2
MEDIAN(previous_application.AMT_CREDIT),98,2
MEDIAN(previous_application.AMT_DOWN_PAYMENT),85,2
MEDIAN(previous_application.AMT_GOODS_PRICE),71,2
MEDIAN(previous_application.HOUR_APPR_PROCESS_START),95,2
MEDIAN(previous_application.NFLAG_LAST_APPL_IN_DAY),0,2
MEDIAN(previous_application.RATE_DOWN_PAYMENT),54,2
MEDIAN(previous_application.RATE_INTEREST_PRIMARY),0,2
MEDIAN(previous_application.RATE_INTEREST_PRIVILEGED),0,2
MEDIAN(previous_application.DAYS_DECISION),139,2
MEDIAN(previous_application.SELLERPLACE_AREA),80,2
MEDIAN(previous_application.CNT_PAYMENT),78,2
MEDIAN(previous_application.DAYS_FIRST_DRAWING),15,2
MEDIAN(previous_application.DAYS_FIRST_DUE),109,2
MEDIAN(previous_application.DAYS_LAST_DUE_1ST_VERSION),140,2
MEDIAN(previous_application.DAYS_LAST_DUE),62,2
MEDIAN(previous_application.DAYS_TERMINATION),70,2
MEDIAN(previous_application.NFLAG_INSURED_ON_APPROVAL),10,2
MEDIAN(previous_application.NEW_AMT_APPLICATION_DIVIDE_AMT_CREDIT),206,2
MEDIAN(previous_application.NEW_AMT_DOWN_PAYMENT_DIVIDE_AMT_CREDIT),50,2
MEDIAN(previous_application.POS_MONTHS_BALANCE_SIZE),21,2
MEDIAN(previous_application.CREDIT_MONTHS_BALANCE_SIZE),2,2
MEDIAN(previous_application.NAME_CONTRACT_TYPE_Cash loans),2,2
MEDIAN(previous_application.NAME_CONTRACT_TYPE_Consumer loans),3,2
MEDIAN(previous_application.NAME_CONTRACT_TYPE_Revolving loans),0,2
MEDIAN(previous_application.NAME_CONTRACT_TYPE_nan),0,2
MEDIAN(previous_application.WEEKDAY_APPR_PROCESS_START_FRIDAY),5,2
MEDIAN(previous_application.WEEKDAY_APPR_PROCESS_START_MONDAY),13,2
MEDIAN(previous_application.WEEKDAY_APPR_PROCESS_START_SATURDAY),10,2
MEDIAN(previous_application.WEEKDAY_APPR_PROCESS_START_SUNDAY),4,2
MEDIAN(previous_application.WEEKDAY_APPR_PROCESS_START_THURSDAY),7,2
MEDIAN(previous_application.WEEKDAY_APPR_PROCESS_START_TUESDAY),0,2
MEDIAN(previous_application.WEEKDAY_APPR_PROCESS_START_WEDNESDAY),4,2
MEDIAN(previous_application.FLAG_LAST_APPL_PER_CONTRACT_N),0,2
MEDIAN(previous_application.FLAG_LAST_APPL_PER_CONTRACT_Y),0,2
MEDIAN(previous_application.NAME_CASH_LOAN_PURPOSE_Building a house or an annex),0,2
MEDIAN(previous_application.NAME_CASH_LOAN_PURPOSE_Business development),0,2
MEDIAN(previous_application.NAME_CASH_LOAN_PURPOSE_Buying a garage),0,2
MEDIAN(previous_application.NAME_CASH_LOAN_PURPOSE_Buying a holiday home / land),0,2
MEDIAN(previous_application.NAME_CASH_LOAN_PURPOSE_Buying a home),0,2
MEDIAN(previous_application.NAME_CASH_LOAN_PURPOSE_Buying a new car),0,2
MEDIAN(previous_application.NAME_CASH_LOAN_PURPOSE_Buying a used car),0,2
MEDIAN(previous_application.NAME_CASH_LOAN_PURPOSE_Car repairs),0,2
MEDIAN(previous_application.NAME_CASH_LOAN_PURPOSE_Education),0,2
