feature,importance,fold
SUM(bureau.AMT_ANNUITY),22,1
SUM(bureau.NEW_AMT_CREDIT_SUM_DEBT_DIVIDE_AMT_CREDIT_SUM),100,1
SUM(bureau.NEW_AMT_CREDIT_SUM_LIMIT_DIVIDE_AMT_CREDIT_SUM),0,1
SUM(bureau.NEW_AMT_CREDIT_SUM_OVERDUE_DIVIDE_AMT_CREDIT_SUM_DEBT),0,1
SUM(bureau.NEW_AMT_CREDIT_SUM_OVERDUE_DIVIDE_AMT_CREDIT_SUM),0,1
SUM(bureau.MONTHS_BALANCE_SIZE),23,1
SUM(bureau.CREDIT_ACTIVE_Active),149,1
SUM(bureau.CREDIT_ACTIVE_Bad debt),0,1
SUM(bureau.CREDIT_ACTIVE_Closed),21,1
SUM(bureau.CREDIT_ACTIVE_Sold),8,1
SUM(bureau.CREDIT_CURRENCY_currency 1),27,1
SUM(bureau.CREDIT_CURRENCY_currency 2),0,1
SUM(bureau.CREDIT_CURRENCY_currency 3),0,1
SUM(bureau.CREDIT_CURRENCY_currency 4),0,1
SUM(bureau.CREDIT_TYPE_Another type of loan),0,1
SUM(bureau.CREDIT_TYPE_Car loan),10,1
SUM(bureau.CREDIT_TYPE_Cash loan (non-earmarked)),0,1
SUM(bureau.CREDIT_TYPE_Consumer credit),41,1
SUM(bureau.CREDIT_TYPE_Credit card),35,1
SUM(bureau.CREDIT_TYPE_Interbank credit),0,1
SUM(bureau.CREDIT_TYPE_Loan for business development),0,1
SUM(bureau.CREDIT_TYPE_Loan for purchase of shares (margin lending)),0,1
SUM(bureau.CREDIT_TYPE_Loan for the purchase of equipment),0,1
SUM(bureau.CREDIT_TYPE_Loan for working capital replenishment),0,1
SUM(bureau.CREDIT_TYPE_Microloan),50,1
SUM(bureau.CREDIT_TYPE_Mobile operator loan),0,1
SUM(bureau.CREDIT_TYPE_Mortgage),38,1
SUM(bureau.CREDIT_TYPE_Real estate loan),0,1
SUM(bureau.CREDIT_TYPE_Unknown type of loan),0,1
STD(bureau.DAYS_CREDIT),128,1
STD(bureau.CREDIT_DAY_OVERDUE),3,1
